,Ca-Mg,Eworms-No-species,slope,OlsenP,pasture-prod-class
0,3.64,5,25,8,MED
1,3.34,3,23,12,MED
2,3.34,4,20,9,MED
3,3.34,3,27,10,MED
4,3.64,5,8,8,MED
5,3.34,4,13,9,HI
6,3.48,4,16,8,MED
7,3.8,3,17,10,MED
8,3.2,3,20,9,LO
9,3.2,2,26,7,LO
10,3.0,4,18,7,LO
11,2.96,4,24,7,LO
12,2.72,4,9,8,LO
13,2.22,3,23,6,LO
14,3.64,2,24,6,LO
15,3.0,1,17,6,LO
16,3.34,5,23,5,MED
17,4.0,5,23,5,LO
18,4.54,2,28,8,MED
19,4.16,3,25,9,LO
20,6.0,4,33,6,LO
21,3.7,4,22,7,MED
22,4.16,4,15,10,HI
23,4.54,5,7,12,HI
24,4.14,3,14,11,HI
25,4.76,3,18,8,LO
26,5.56,3,21,20,MED
27,5.88,2,23,27,HI
28,6.36,3,24,38,HI
29,5.0,4,27,28,HI
30,6.36,4,23,42,HI
31,5.88,3,25,40,HI
32,4.7,3,20,29,MED
33,5.0,3,11,30,HI
34,4.7,4,23,39,HI
35,5.22,3,14,37,HI
