,legs,animal_name,type
0,4,antelope,1
1,0,bass,4
2,4,bear,1
3,4,boar,1
4,4,buffalo,1
5,4,calf,1
6,0,carp,4
7,0,catfish,4
8,4,cavy,1
9,4,cheetah,1
10,2,chicken,2
11,0,chub,4
12,0,clam,7
13,4,crab,7
14,6,crayfish,7
15,2,crow,2
16,4,deer,1
17,0,dogfish,4
18,0,dolphin,1
19,2,dove,2
20,2,duck,2
21,4,elephant,1
22,2,flamingo,2
23,6,flea,6
24,4,frog,5
25,4,frog,5
26,2,fruitbat,1
27,4,giraffe,1
28,2,girl,1
29,6,gnat,6
30,4,goat,1
31,2,gorilla,1
32,2,gull,2
33,0,haddock,4
34,4,hamster,1
35,4,hare,1
36,2,hawk,2
37,0,herring,4
38,6,honeybee,6
39,6,housefly,6
40,2,kiwi,2
41,6,ladybird,6
42,2,lark,2
43,4,leopard,1
44,4,lion,1
45,6,lobster,7
46,4,lynx,1
47,4,mink,1
48,4,mole,1
49,4,mongoose,1
50,6,moth,6
51,4,newt,5
52,8,octopus,7
53,4,opossum,1
54,4,oryx,1
55,2,ostrich,2
56,2,parakeet,2
57,2,penguin,2
58,2,pheasant,2
59,0,pike,4
60,0,piranha,4
61,0,pitviper,3
62,4,platypus,1
63,4,polecat,1
64,4,pony,1
65,0,porpoise,1
66,4,puma,1
67,4,pussycat,1
68,4,raccoon,1
69,4,reindeer,1
70,2,rhea,2
71,8,scorpion,7
72,0,seahorse,4
73,0,seal,1
74,2,sealion,1
75,0,seasnake,3
76,0,seawasp,7
77,2,skimmer,2
78,2,skua,2
79,0,slowworm,3
80,0,slug,7
81,0,sole,4
82,2,sparrow,2
83,2,squirrel,1
84,5,starfish,7
85,0,stingray,4
86,2,swan,2
87,6,termite,6
88,4,toad,5
89,4,tortoise,3
90,4,tuatara,3
91,0,tuna,4
92,2,vampire,1
93,4,vole,1
94,2,vulture,2
95,2,wallaby,1
96,6,wasp,6
97,4,wolf,1
98,0,worm,7
99,2,wren,2
