Student,Audition,Spoken Language,Reading ,Writing ,Evaluation
x1,{E},{E},"{F,G}","{F,G}",Poor
x2,"{E,F,G}","{E,F,G}","{F,G}","{E,F,G}",Good
x3,"{F,G}",{F},"{F,G}","{F,G}",Good
x4,"{E,F}","{E,G}","{F,G}",{F},Poor
x5,"{F,G}","{F,G}","{F,G}",{F},Poor
x6,{F},{F},"{E,F}","{E,F}",Poor
x7,"{E,F,G}","{E,F,G}","{E,G}","{E,F,G}",Good
x8,"{F,G}",{F},"{F,G}","{F,G}",Good
x9,"{E,G}",{G},"{F,G}","{F,G}",Poor
x10,"{E,F}","{E,G}","{F,G}","{E,F}",Good
x11,{F},"{E,F}",{F},{G},Good
x12,"{E,F,G}","{E,G}","{E,F,G}","{E,G}",Poor
x13,"{E,F,G}",{G},"{E,G}",{F},Poor
x14,"{F,G}","{F,G}","{F,G}",{F},Poor
x15,"{E,F,G}","{E,F,G}","{F,G}","{E,F}",Good
x16,"{E,G}","{F,G}","{F,G}","{E,G}",Good
x17,"{E,G}",{F},"{E,F,G}","{E,G}",Poor
x18,"{E,F,G}","{F,G}",{F},"{E,F,G}",Poor
x19,{F},"{E,F}","{F,G}","{E,F}",Poor
x20,{E},{E},"{F,G}","{F,G}",Good
x21,"{F,G}",{F},"{F,G}","{F,G}",Good
x22,{F},"{E,F}",{F},{G},Good
x23,"{E,F}","{E,G}","{F,G}",{F},Poor
x24,{F},"{E,F}",{F},{G},Good
x25,"{E,F,G}","{E,G}","{E,F,G}","{E,G}",Poor
x26,"{F,G}","{F,G}","{F,G}",{F},Poor
x27,"{F,G}",{F},"{F,G}","{F,G}",Good
x28,"{E,F}","{E,G}","{F,G}",{F},Poor
x29,"{E,F,G}","{F,G}",{F},"{E,F,G}",Poor
x30,"{E,G}",{F},{F},"{E,F,G}",Good
x31,"{F,G}","{F,G}","{E,G}","{F,G}",Good
x32,"{E,F,G}","{E,G}","{E,G}","{F,G}",Good
x33,"{E,F,G}","{F,G}","{F,G}","{F,G}",Poor
x34,"{E,F,G}","{F,G}","{E,F,G}","{E,G}",Poor
x35,{F},"{E,F}",{F},{G},Good
x36,"{E,F,G}","{F,G}",{F},"{E,F,G}",Poor
x37,"{F,G}",{F},"{F,G}","{F,G}",Good
x38,"{F,G}","{F,G}","{F,G}",{F},Poor
x39,"{E,F}",{F},"{E,F,G}",{F},Poor
x40,{F},"{E,F}",{F},{G},Good
x41,"{E,F,G}","{F,G}",{F},"{E,F,G}",Poor
x42,"{E,F,G}","{E,F,G}","{E,F,G}","{E,G}",Poor
x43,"{E,F}",{F},"{E,F,G}",{F},Poor
x44,{F},{F},"{F,G}","{E,F}",Good
x45,"{E,F,G}","{E,F,G}","{F,G}","{E,F,G}",Good
x46,"{E,G}","{E,G}","{G,F}","{F,G}",Good
x47,"{E,F,G}","{E,F,G}","{E,F,G}","{E,G}",Poor
x48,"{E,F}","{E,G}","{F,G}",{F},Poor
x49,"{E,F,G}","{F,G}","{E,F,G}","{E,G}",Poor
x50,"{F,G}",{F},"{F,G}","{F,G}",Good
