,RyeGrass-94,OtherLegumes-91,OtherLegumes-94,OtherLegumes-92,Class
0,25.0,0.0,0.0,0.0,17.645<=WhiteClover-94<26.4675
1,0.0,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
2,23.53,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
3,0.0,0.0,16.67,2.22,0<=WhiteClover-94<8.8225
4,4.64,2.7,7.65,1.42,0<=WhiteClover-94<8.8225
5,0.0,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
6,42.86,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
7,8.24,6.41,13.82,2.07,0<=WhiteClover-94<8.8225
8,4.81,4.76,14.9,5.68,0<=WhiteClover-94<8.8225
9,0.0,4.17,0.0,0.0,0<=WhiteClover-94<8.8225
10,10.54,5.04,10.2,2.99,8.8225<=WhiteClover-94<17.645
11,13.22,10.08,12.07,2.37,0<=WhiteClover-94<8.8225
12,23.53,0.0,5.88,0.0,26.4675<=WhiteClover-94<=35.29
13,7.34,4.53,15.25,3.91,8.8225<=WhiteClover-94<17.645
14,45.9,0.0,4.92,0.0,0<=WhiteClover-94<8.8225
15,42.86,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
16,28.57,0.0,14.29,0.0,8.8225<=WhiteClover-94<17.645
17,75.0,0.0,0.0,0.0,17.645<=WhiteClover-94<26.4675
18,50.0,3.27,25.0,0.0,17.645<=WhiteClover-94<26.4675
19,0.0,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
20,22.16,2.63,5.41,1.5,0<=WhiteClover-94<8.8225
21,25.0,7.14,0.0,0.0,0<=WhiteClover-94<8.8225
22,21.88,6.45,15.62,10.0,8.8225<=WhiteClover-94<17.645
23,0.0,4.88,0.0,2.38,0<=WhiteClover-94<8.8225
24,16.79,4.24,13.74,1.41,8.8225<=WhiteClover-94<17.645
25,21.43,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
26,27.89,0.0,7.48,0.65,0<=WhiteClover-94<8.8225
27,14.29,20.0,7.14,0.0,0<=WhiteClover-94<8.8225
28,5.37,4.84,12.68,3.27,0<=WhiteClover-94<8.8225
29,42.86,0.0,7.14,3.03,0<=WhiteClover-94<8.8225
30,22.86,0.0,2.86,0.0,0<=WhiteClover-94<8.8225
31,8.4,11.52,21.41,8.89,0<=WhiteClover-94<8.8225
32,18.51,2.1,12.81,0.0,8.8225<=WhiteClover-94<17.645
33,5.32,2.84,14.45,1.32,8.8225<=WhiteClover-94<17.645
34,10.39,4.0,11.47,5.6,0<=WhiteClover-94<8.8225
35,16.88,0.0,6.49,0.0,0<=WhiteClover-94<8.8225
36,15.62,0.85,9.38,0.0,0<=WhiteClover-94<8.8225
37,10.89,15.66,22.28,11.82,8.8225<=WhiteClover-94<17.645
38,44.44,0.0,2.22,0.0,8.8225<=WhiteClover-94<17.645
39,10.1,5.0,14.63,4.19,8.8225<=WhiteClover-94<17.645
40,12.5,1.39,15.62,1.74,8.8225<=WhiteClover-94<17.645
41,36.36,3.57,6.82,0.0,8.8225<=WhiteClover-94<17.645
42,47.83,0.0,4.35,0.0,8.8225<=WhiteClover-94<17.645
43,26.46,0.0,6.35,0.0,8.8225<=WhiteClover-94<17.645
44,0.0,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
45,60.0,3.03,0.0,0.0,17.645<=WhiteClover-94<26.4675
46,14.29,0.0,0.0,0.0,8.8225<=WhiteClover-94<17.645
47,18.94,2.05,15.15,1.25,8.8225<=WhiteClover-94<17.645
48,40.91,0.0,0.0,0.0,8.8225<=WhiteClover-94<17.645
49,19.7,0.67,6.06,1.15,8.8225<=WhiteClover-94<17.645
50,0.0,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
51,22.22,6.06,5.56,0.86,0<=WhiteClover-94<8.8225
52,11.43,0.0,2.86,0.0,0<=WhiteClover-94<8.8225
53,17.98,3.88,18.54,5.62,0<=WhiteClover-94<8.8225
54,6.36,3.79,11.31,3.76,0<=WhiteClover-94<8.8225
55,0.0,0.0,0.0,4.17,0<=WhiteClover-94<8.8225
56,6.27,4.37,12.53,4.29,0<=WhiteClover-94<8.8225
57,4.73,3.72,13.25,4.84,8.8225<=WhiteClover-94<17.645
58,12.36,2.59,12.74,3.48,0<=WhiteClover-94<8.8225
59,15.49,2.93,13.38,6.83,0<=WhiteClover-94<8.8225
60,38.46,0.0,0.0,0.0,0<=WhiteClover-94<8.8225
61,10.86,3.44,17.11,2.37,8.8225<=WhiteClover-94<17.645
62,39.13,0.0,6.52,2.78,0<=WhiteClover-94<8.8225
